Row,Context,Drug,Target,G (0-3),E (0-3),P (0-2),L (0-1),Total,Tier,Scoring rationale (as recorded at build time),Score note,E component evidence as recorded (v25 validation table),E component evidence type,Score in v25,Expression percentile (primary GEO matrix),Expression-rank arm check,E component reproducible from deposited DE?,Audit measurement,Prior status
17,RMC,Reparixin / navarixin / AZD5069,CXCR1 / CXCR2 (IL-8/CXCL1/CXCL2 triad),3,3,1,0,7/9,Strong,"=========================== | DISCOVERY SET (4 rare diseases, uniform scoring) | =========================== | RMC — SMARCB1-loss biology | TCGA: SMARCB1 biallelic loss ~100% (definitional). Score: 3 (>30% threshold) | GEO: from GSE180999 DE — IL8 log2FC -2.32, q<1e-200. Very strong signal. | KEGG: Chemokine_signaling pathway (IL8/CXCL8, CXCL1, CXCL2 in pathway). Pathway p>0.05 in | formal hypergeometric due to small DE list (13 genes), but biological coherence is strong; | give 1 for pathway membership. | Lit: no prior PubMed hits → 0 (truly framework-novel)",7/9 Strong-discovery,,,,,,reproducible from deposited DE,IL8 log2FC=2.319 q=1.48e-216,FRAMEWORK-NOVEL (zero prior PubMed hits in RMC; coherent with neutrophil-rich RMC microenvironment per Msaouel 2025)
18,RMC,Erlotinib (± bevacizumab),EGFR (HBEGF ligand),3,3,1,1,8/9,Strong,RMC EGFR (already proposed by Wiele/Zacharias),E=3: |log2FC|>=1 with q<0.05 in the deposited DE table (verified by 14_audit_geo_score_component.py),,,,,,reproducible from deposited DE,HBEGF log2FC=1.41 q=5.84e-96,Previously proposed (Wiele Cancers 2021; Zacharias Mol Cancer Ther 2025)
19,RMC,CM24 (anti-CEACAM1),CEACAM1,3,3,0,0,6/9,Moderate,RMC CEACAM1,E=3: |log2FC|>=1 with q<0.05 in the deposited DE table (verified by 14_audit_geo_score_component.py),,,,,,reproducible from deposited DE,CEACAM1 log2FC=1.419 q=4.4e-80,FRAMEWORK-NOVEL (zero prior PubMed hits)
20,Penile SCC,Pembrolizumab + combinations,PD-1 / PD-L1 (HLA-DRA / CXCL10 immune-hot phenotype),1,3,2,1,7/9,Strong,"Penile SCC | TCGA-equivalent: PSCC genomic series (Feber 2016; Aydin 2020) — TP53 ~30-50%, CDKN2A ~25-50%, | PIK3CA ~30%, NOTCH1 ~30%. For immune-checkpoint, TMB-high in HPV-related subset. | GEO: from GSE196978 DE | KEGG: Antigen_processing_presentation p=1.7e-4 (very strong enrichment) | Chemokine_signaling p=0.045 + Cytokine_receptor p=0.031 | Lit: KEYNOTE-158 + extensive PSCC immunotherapy literature",7/9 Strong — framework converges on KEYNOTE-158,,,,,,reproducible from deposited DE,HLA-DRA log2FC=9.009 q=1.06e-08,Previously proposed (KEYNOTE-158 Marabelle 2020 [PMID 32278926]; McGregor pembrolizumab in rare GU 2021; HERCULES atezolizumab) — framework convergent validation
21,Penile SCC,Andecaliximab / marimastat,MMP1 / MMP9,0,3,1,1,5/9,Moderate,Penile MMP — MMP1 elevated (log2FC=6.0); partially novel (target proposed but drug not),5/9 Moderate-discovery,,,,,,reproducible from deposited DE,MMP1 log2FC=5.984 q=1.24e-05,PARTIALLY NOVEL — MMP1 elevation reported as PSCC target (Tan 2022; Ibilibor 2022) but no drug proposed
22,Penile SCC,Fresolimumab / vactosertib,POSTN / TGFβ axis,0,3,1,1,5/9,Moderate,Penile POSTN — partially novel,5/9 Moderate-discovery,,,,,,reproducible from deposited DE,POSTN log2FC=6.258 q=3.88e-06,PARTIALLY NOVEL — POSTN flagged 12 years ago (Gunia 2013); no drug proposed
23,Sarcomatoid UC,KTX-1001 / SP-2577 (seclidemstat),NSD2 / WHSC1 (histone methyltransferase),0,3,2,0,5/9,Moderate,"Sarcomatoid UC | TCGA-equivalent: TP53 ~75-100%, RB1 ~50%, ARID1A ~30% (Sjödahl 2017; Gui 2011) | GEO: from GSE128192 SARC vs UC | KEGG: Epigenetic_Regulation p=7.5e-3 (enriched, UHRF1+WHSC1+PHC2) | NSD2 / WHSC1: in epigenetic set; pathway enriched → 2",E=3: |log2FC|>=1 with q<0.05 in the deposited DE table (verified by 14_audit_geo_score_component.py),,,,,,reproducible from deposited DE,WHSC1 log2FC=1.258 q=1.94e-13,FRAMEWORK-NOVEL (zero prior PubMed hits)
24,Sarcomatoid UC,Ceralasertib / berzosertib / elimusertib,ATR / ATRIP (DNA damage response),0,3,1,0,4/9,Moderate,ATR — ATRIP elevated; ATR in p53 + HR pathways,E=3: |log2FC|>=1 with q<0.05 in the deposited DE table (verified by 14_audit_geo_score_component.py),,,,,,reproducible from deposited DE,ATRIP log2FC=1.229 q=3.33e-12,FRAMEWORK-NOVEL (zero prior PubMed hits in sarcomatoid UC)
25,Sarcomatoid UC,UM-002 (UHRF1 PROTAC),UHRF1 (epigenetic reader),0,3,2,1,6/9,Moderate,UHRF1 — in epigenetic set; pathway enriched → 2,E=3: |log2FC|>=1 with q<0.05 in the deposited DE table (verified by 14_audit_geo_score_component.py),,,,,,reproducible from deposited DE,UHRF1 log2FC=1.552 q=1.64e-17,"PARTIALLY NOVEL — UHRF1 in conventional bladder cancer previously proposed (e.g., PMID 40667845); sarcomatoid-specific application is novel slice"
26,Sarcomatoid UC,6-aminonicotinamide / polydatin,G6PD (pentose phosphate),0,3,1,1,5/9,Moderate,G6PD — Pentose_phosphate p=0.12 (not formally enriched but G6PD is THE pathway gene),E=3: |log2FC|>=1 with q<0.05 in the deposited DE table (verified by 14_audit_geo_score_component.py),,,,,,reproducible from deposited DE,G6PD log2FC=1.32 q=1.02e-08,PARTIALLY NOVEL — G6PD/pentose phosphate in conventional bladder cancer previously proposed (PMID 37958478); sarcomatoid-specific application is novel slice
27,Sarcomatoid UC,Sacituzumab govitecan — PREDICTED NON-RESPONSE,TROP2 (TACSTD2 DOWNREGULATED),0,−3,0,0,Discovery (non-scored),Discovery (non-scored),TROP2 NEGATIVE biomarker,,,,,,,not audited,,PREVIOUSLY PROPOSED (Brunelli Pathologica 2024 [PMID 38482675]; Bahlinger Histopathology 2024 [PMID 38196202]; Hoffman-Censits 2021 [PMID 33901032]) — framework convergent validation of sarcomatoid TROP2-low biomarker
28,SCBC (ASCL1+),Tusamitamab ravtansine,CEACAM5 (CEA),1,3,0,1,5/9,Moderate,"SCBC — subtype-stratified | TCGA-equivalent: TP53 ~80-100%, RB1 ~80-100% universal (Feng 2023; Chang 2019) | GEO: from GSE269750 subtype DE | KEGG: ASCL1+ no formal pathway hit (Apoptosis weak) | POU2F3+ Arachidonic_acid p=0.018 (PLA2G4A+PTGS1) | NEUROD1+ Neuroactive_ligand_receptor p=0.106 (SSTR2+CHRNA1) | ASCL1+ CEACAM5",5/9 Moderate-discovery (some prior via SCLC paradigm),,,,,,reproducible from deposited DE,CEACAM5 log2FC=6.19 q=0.0024,PARTIALLY NOVEL — direct SCLC paradigm transfer; no explicit SCBC proposal
29,SCBC (NEUROD1+),177Lu-DOTATATE (Lutathera) / octreotide,SSTR2 (somatostatin receptor 2),1,3,1,0,5/9,Moderate,NEUROD1+ SSTR2 theranostics,E=3: |log2FC|>=1 with q<0.05 in the deposited DE table (verified by 14_audit_geo_score_component.py),,,,,,reproducible from deposited DE,SSTR2 log2FC=2.159 q=0.0478,FRAMEWORK-NOVEL (no prior SCBC + SSTR2/DOTATATE PubMed hits; SCLC SSTR2 literature exists but not NEUROD1-stratified)
30,SCBC (POU2F3+),Aspirin / celecoxib,COX-1 / PTGS1,1,3,2,1,7/9,Strong,POU2F3+ COX-1,7/9 — bladder + COX/aspirin literature exists broadly,,,,,,reproducible from deposited DE,PTGS1 log2FC=3.569 q=0.0056,PARTIALLY NOVEL — bladder cancer + COX/aspirin chemoprevention literature is extensive; POU2F3-subtype-specific COX-1 application is the novel slice
