row,context,drug,target,classification,query_template,exact_query_string_logged,reviewers,classifications_duplicated,adjudication,counts_as_prior_proposal
16,ccRCC,Abemaciclib,CDK4/6,Previously tested (McGregor 2025 [PMID 40081120]; negative monotherapy),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
17,RMC,"CXCR2-directed antagonists, including agents with additional CXCR1 activity (AZD5069, navarixin, reparixin, danirixin)",CXCR1 / CXCR2 (CXCL8/CXCL1/CXCL2/CXCL3 chemokine axis),FRAMEWORK-NOVEL (zero prior PubMed hits in RMC; coherent with neutrophil-rich RMC microenvironment per Msaouel 2025),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
18,RMC,Erlotinib (± bevacizumab),EGFR (HBEGF ligand),Previously proposed (Wiele Cancers 2021; Zacharias Mol Cancer Ther 2025),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
19,RMC,CM24 (anti-CEACAM1),CEACAM1,FRAMEWORK-NOVEL (zero prior PubMed hits),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
20,Penile SCC,Pembrolizumab + combinations,PD-1 / PD-L1 (HLA-DRA / CXCL10 immune-hot phenotype),Previously proposed (KEYNOTE-158 Marabelle 2020 [PMID 32278926]; McGregor pembrolizumab in rare GU 2021; HERCULES atezolizumab) — framework convergent validation,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
21,Penile SCC,Andecaliximab / marimastat,MMP1 / MMP9,PARTIALLY NOVEL — MMP1 elevation reported as PSCC target (Tan 2022; Ibilibor 2022) but no drug proposed,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
22,Penile SCC,Fresolimumab / vactosertib,POSTN / TGFβ axis,PARTIALLY NOVEL — POSTN flagged 12 years ago (Gunia 2013); no drug proposed,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
23,Sarcomatoid UC,Gintemetostat (KTX-1001),NSD2 / WHSC1 (histone methyltransferase),FRAMEWORK-NOVEL (zero prior PubMed hits),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
24,Sarcomatoid UC,Ceralasertib / berzosertib / elimusertib,ATR / ATRIP (DNA damage response),FRAMEWORK-NOVEL (zero prior PubMed hits in sarcomatoid UC),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
25,Sarcomatoid UC,UM-002 (UHRF1 PROTAC),UHRF1 (epigenetic reader),"PARTIALLY NOVEL — UHRF1 in conventional bladder cancer previously proposed (e.g., PMID 40667845); sarcomatoid-specific application is novel slice","(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
26,Sarcomatoid UC,6-aminonicotinamide / polydatin,G6PD (pentose phosphate),PARTIALLY NOVEL — G6PD/pentose phosphate in conventional bladder cancer previously proposed (PMID 37958478); sarcomatoid-specific application is novel slice,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
27,Sarcomatoid UC,Sacituzumab govitecan — PREDICTED NON-RESPONSE,TROP2 (TACSTD2 DOWNREGULATED),PREVIOUSLY PROPOSED (Brunelli Pathologica 2024 [PMID 38482675]; Bahlinger Histopathology 2024 [PMID 38196202]; Hoffman-Censits 2021 [PMID 33901032]) — framework convergent validation of sarcomatoid TROP2-low biomarker,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
28,SCBC (ASCL1+),"Precemtabart tocentecan (M9140), anti-CEACAM5 ADC",CEACAM5 (CEA),FRAMEWORK-NOVEL within urologic-oncology literature — SCLC ASCL1-CEACAM5 paradigm has zero prior small-cell-bladder-cancer proposal,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
29,SCBC (NEUROD1+),177Lu-DOTATATE (Lutathera) / octreotide,SSTR2 (somatostatin receptor 2),FRAMEWORK-NOVEL (no prior SCBC + SSTR2/DOTATATE PubMed hits; SCLC SSTR2 literature exists but not NEUROD1-stratified),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
30,SCBC (POU2F3+),Aspirin / celecoxib,COX-1 / PTGS1,PARTIALLY NOVEL — bladder cancer + COX/aspirin chemoprevention literature is extensive; POU2F3-subtype-specific COX-1 application is the novel slice,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
